CÓDIGO,DENOMINACIÓN,Total
1,ACTIVOS,65921694.55
11,EFECTIVO Y EQUIVALENTES AL EFECTIVO,22922334.55
1105,CAJA,0.00
110501,Caja principal,0.00
110502,Caja menor,0.00
1110,DEPÓSITOS EN INSTITUCIONES FINANCIERAS,22922334.55
111005,Cuenta corriente,13804877.55
111006,Cuenta de ahorro,9117457.00
111009,Depósitos simples,0.00
111010,Cuentas de compensación Banco de la República,0.00
111011,Depósitos en el exterior,0.00
111012,Depósitos remunerados,0.00
111090,Otros depósitos en instituciones financieras,0.00
1120,FONDOS EN TRÁNSITO,0.00
112005,Cuenta corriente,0.00
112006,Cuenta de ahorro,0.00
112090,Otros depósitos,0.00
1132,EFECTIVO DE USO RESTRINGIDO,0.00
113205,Caja,0.00
113210,Depósitos en instituciones financieras,0.00
113220,Fondos en tránsito,0.00
1133,EQUIVALENTES AL EFECTIVO,0.00
113301,Certificados de depósito de ahorro a término,0.00
113302,Fondos vendidos ordinarios,0.00
113303,Operaciones overnight,0.00
113304,Compromisos de reventa de cuentas por cobrar,0.00
113305,Compromisos de reventa de inversiones de administración de liquidez,0.00
113306,Compromisos de reventa de préstamos por cobrar,0.00
113307,Bonos y títulos,0.00
113390,Otros equivalentes al efectivo,0.00
12,INVERSIONES E INSTRUMENTOS DERIVADOS,0.00
1216,INVERSIONES EN ENTIDADES EN LIQUIDACIÓN,0.00
121601,Empresas industriales y comerciales del Estado - Societarias,0.00
121602,Sociedades de economía mixta,0.00
121603,Sociedades públicas,0.00
121604,Entidades privadas,0.00
121605,Entidades del exterior,0.00
121606,Entidades del sector solidario,0.00
1220,DERECHOS DE RECOMPRA DE INVERSIONES,0.00
122015,Inversiones de administración de liquidez a valor de mercado (valor razonable) con cambios en el resultado,0.00
122016,Inversiones de administración de liquidez a valor de mercado (valor razonable) con cambios en el patrimonio (otro resultado integral),0.00
122017,Inversiones de administración de liquidez a costo amortizado,0.00
122018,Inversiones de administración de liquidez al costo,0.00
1221,INVERSIONES DE ADMINISTRACIÓN DE LIQUIDEZ A VALOR DE MERCADO (VALOR RAZONABLE) CON CAMBIOS EN EL RESULTADO,0.00
122101,Títulos de tesorería (TES),0.00
122102,Certificados de depósito a término (CDT),0.00
122103,Bonos y títulos emitidos por el sector privado,0.00
122104,Bonos y títulos emitidos por entidades del exterior,0.00
122105,Bonos obligatoriamente convertibles en acciones (BOCAS),0.00
122106,Bonos y títulos emitidos por el Gobierno General,0.00
122107,Bonos y títulos emitidos por las entidades públicas no financieras,0.00
122108,Bonos y títulos emitidos por las entidades públicas financieras,0.00
122109,Títulos de capitalización,0.00
122110,Aceptaciones,0.00
122111,Pagarés,0.00
122112,Títulos de fomento,0.00
122113,Acciones ordinarias,0.00
122114,Acciones preferenciales,0.00
122115,Cuotas o partes de interés social,0.00
122116,Fondos de inversión colectiva,0.00
122117,Certificados emitidos por fondos de inversión,0.00
122119,Otros certificados,0.00
122190,Otras   inversiones   de   administración   de   liquidez   a   valor   de   mercado   (valor razonable) con cambios en el resultado,0.00
1222,INVERSIONES DE ADMINISTRACIÓN DE LIQUIDEZ A VALOR DE MERCADO (VALOR RAZONABLE) CON CAMBIOS EN EL PATRIMONIO (OTRO RESULTADO INTEGRAL),0.00
122201,Instrumentos de patrimonio - Entidades del sector solidario,0.00
122202,Instrumentos de patrimonio - Entidades privadas,0.00
122203,Instrumentos de patrimonio - Entidades del exterior,0.00
122204,Instrumentos  de  patrimonio  -  Empresas  industriales  y  comerciales  del  Estado  - Societarias,0.00
122205,Instrumentos de patrimonio - Sociedades de economía mixta,0.00
122206,Instrumentos de patrimonio - Sociedades públicas,0.00
122218,Fondos de inversión colectiva,0.00
122290,Otras   inversiones   de   administración   de   liquidez   a   valor   de   mercado   (valor razonable) con cambios en el patrimonio (otro resultado integral),0.00
1223,INVERSIONES DE ADMINISTRACIÓN DE LIQUIDEZ A COSTO AMORTIZADO,0.00
122301,Títulos de tesorería (TES),0.00
122302,Certificados de depósito a término (CDT),0.00
122303,Bonos y títulos emitidos por el sector privado,0.00
122304,Bonos y títulos emitidos por entidades del exterior,0.00
122305,Bonos obligatoriamente convertibles en acciones (BOCAS),0.00
122306,Bonos y títulos emitidos por el Gobierno General,0.00
122307,Bonos y títulos emitidos por lasentidades públicas no financieras,0.00
122308,Bonos y títulos emitidos por las entidades públicas financieras,0.00
122310,Títulos de fomento,0.00
122311,Otros certificados,0.00
122312,Pagarés,0.00
122313,Aceptaciones,0.00
122390,Otras inversiones de administración de liquidez a costo amortizado,0.00
1224,INVERSIONES DE ADMINISTRACIÓN DE LIQUIDEZ AL COSTO,0.00
122403,Bonos y títulos emitidos por el sector privado,0.00
122404,Bonos y títulos emitidos por entidades del exterior,0.00
122405,Bonos obligatoriamente convertibles en acciones (BOCAS),0.00
122406,Bonos y títulos emitidos por el Gobierno General,0.00
122407,Bonos y títulos emitidos por lasentidades públicas no financieras,0.00
122408,Bonos y títulos emitidos por las entidades públicas financieras,0.00
122409,Títulos de capitalización,0.00
122410,Aceptaciones,0.00
122411,Pagarés,0.00
122412,Títulos de fomento,0.00
122413,Acciones ordinarias,0.00
122414,Acciones preferenciales,0.00
122415,Cuotas o partes de interés social,0.00
122416,Fondos de inversión colectiva,0.00
122417,Certificados emitidos por fondos de inversión,0.00
122418,Otros certificados,0.00
122419,Aportes sociales en entidades del sector solidario,0.00
122490,Otras inversiones de administración de liquidez al costo,0.00
1227,INVERSIONES    EN    CONTROLADAS    CONTABILIZADAS    POR    EL    MÉTODO    DE PARTICIPACIÓN PATRIMONIAL,0.00
122701,Entidades privadas,0.00
122702,Entidades del exterior,0.00
122703,Empresas industriales y comerciales del Estado - Societarias,0.00
122704,Sociedades de economía mixta,0.00
122705,Sociedades públicas,0.00
1230,INVERSIONES     EN     ASOCIADAS     CONTABILIZADAS     POR     EL     MÉTODO     DE PARTICIPACIÓN PATRIMONIAL,0.00
123001,Entidades privadas,0.00
123002,Entidades del exterior,0.00
123003,Empresas industriales y comerciales del Estado - Societarias,0.00
123004,Sociedades de economía mixta,0.00
123005,Sociedades públicas,0.00
1233,INVERSIONES EN NEGOCIOS CONJUNTOS CONTABILIZADAS POR EL MÉTODO DE PARTICIPACIÓN PATRIMONIAL,0.00
123301,Entidades privadas,0.00
123302,Entidades del exterior,0.00
123303,Empresas industriales y comerciales del Estado - Societarias,0.00
123304,Sociedades de economía mixta,0.00
123305,Sociedades públicas,0.00
1234,INSTRUMENTOS DERIVADOS CON FINES DE ESPECULACIÓN,0.00
123401,Derechos en contratos forward,0.00
123402,Obligaciones en contratos forward (Cr),0.00
123403,Derechos en contratos futuros,0.00
123404,Obligaciones en contratos futuros (Cr),0.00
123405,Derechos en contratos swaps,0.00
123406,Obligaciones en contratos swaps (Cr),0.00
123407,Derechos en otros derivados,0.00
123408,Obligaciones en otros derivados (Cr),0.00
123409,Prima pagada en opciones,0.00
123410,Ganancia en la valoración de opciones compradas,0.00
1235,INSTRUMENTOS DERIVADOS CON FINES DE COBERTURA DE VALOR DE MERCADO (VALOR RAZONABLE),0.00
123501,Derechos en contratos forward,0.00
123502,Obligaciones en contratos forward (Cr),0.00
123503,Derechos en contratos futuros,0.00
123504,Obligaciones en contratos futuros (Cr),0.00
123505,Derechos en contratos swaps,0.00
123506,Obligaciones en contratos swaps (Cr),0.00
123507,Derechos en otros derivados,0.00
123508,Obligaciones en otros derivados (Cr),0.00
123509,Prima pagada en opciones,0.00
123510,Ganancia en la valoración de opciones compradas,0.00
1236,INSTRUMENTOS DERIVADOS CON FINES DE COBERTURA DE FLUJOS DE EFECTIVO,0.00
123601,Derechos en contratos forward,0.00
123602,Obligaciones en contratos forward (Cr),0.00
123603,Derechos en contratos futuros,0.00
123604,Obligaciones en contratos futuros (Cr),0.00
123605,Derechos en contratos swaps,0.00
123606,Obligaciones en contratos swaps  (Cr),0.00
123607,Derechos en otros derivados,0.00
123608,Obligaciones en otros derivados (Cr),0.00
123609,Prima pagada en opciones,0.00
123610,Ganancia en la valoración de opciones compradas,0.00
1237,INSTRUMENTOS  DERIVADOS  CON  FINES  DE  COBERTURA  DE  UNA  INVERSIÓN NETA EN UN NEGOCIO EN EL EXTRANJERO,0.00
123701,Derechos en contratos forward,0.00
123702,Obligaciones en contratos forward (Cr),0.00
123703,Derechos en contratos futuros,0.00
123704,Obligaciones en contratos futuros (Cr),0.00
123705,Derechos en contratos swaps,0.00
123706,Obligaciones en contratos swaps (Cr),0.00
123707,Derechos en otros derivados,0.00
123708,Obligaciones en otros derivados (Cr),0.00
123709,Prima pagada en opciones,0.00
123710,Ganancia en la valoración de opciones compradas,0.00
1238,AJUSTE  POR  COBERTURA  DEL  VALOR  DE  MERCADO  (VALOR  RAZONABLE)  DEL RIESGO  DE  TASA  DE  INTERÉS  ASOCIADO  CON  UNA  CARTERA  DE  ACTIVOS  Y/O PASIVOS FINANCIEROS,0.00
123801,"Ajuste por cobertura del valor de mercado (valor razonable) del riesgo de tasa de
interés asociado con una cartera de activos financieros",0.00
123802,"Ajuste por cobertura del valor de mercado (valor razonable) del riesgo de tasa de
interés asociado con una cartera de pasivos financieros",0.00
123803,Ajuste por cobertura del valor de mercado (valor razonable) del riesgo de tasa de interés asociado con una cartera de activos y pasivos financieros,0.00
1239,GANANCIA  EN  LA  VALORACIÓN  DE  COMPROMISOS  EN  FIRME  DESIGNADOS COMO PARTIDAS CUBIERTAS,0.00
123901,Para adquirir un activo,0.00
123902,Para asumir un pasivo,0.00
1280,DETERIORO ACUMULADO DE INVERSIONES (CR),0.00
128040,Inversiones de administración de liquidez a valor de mercado (valor razonable) con cambios en el patrimonio (otro resultado integral),0.00
128041,Inversiones de administración de liquidez a costo amortizado,0.00
128042,Inversiones de administración de liquidez al costo,0.00
128044,Inversiones   en   controladas   contabilizadas   por   el   método   de   participación patrimonial,0.00
128046,Inversiones en asociadas contabilizadas por el método de participación patrimonial,0.00
128048,Inversiones  en  negocios  conjuntos  contabilizadas  por  el  método  de  participación patrimonial,0.00
13,CUENTAS POR COBRAR,26547350.00
1311,"CONTRIBUCIONES, TASAS E INGRESOS NO TRIBUTARIOS",0.00
131102,Multas,0.00
131104,Sanciones,0.00
131113,Estampillas,0.00
131117,Cuotas de sostenimiento,0.00
1316,VENTA DE BIENES,0.00
131601,"Productos agropecuarios, de silvicultura, avicultura y pesca",0.00
131602,Productos de minas y minerales,0.00
131603,"Productos alimenticios, bebidas y alcoholes",0.00
131604,Productos manufacturados,0.00
131605,Construcciones,0.00
131606,Bienes comercializados,0.00
1317,PRESTACIÓN DE SERVICIOS,0.00
131702,Servicios de transporte,0.00
131703,Juegos de suerte y azar,0.00
131704,Servicios hoteleros y de promoción turística,0.00
131705,Servicios financieros,0.00
131708,Servicios informáticos,0.00
131710,Servicios de comunicaciones,0.00
131711,Servicio de matadero,0.00
131712,Organización de eventos,0.00
131713,Servicios de apoyo industrial,0.00
131714,Transferencia de tecnología,0.00
131715,Asistencia técnica,0.00
131716,Servicios informativos,0.00
131717,Servicios de almacenamiento y pesaje,0.00
131718,Corporación de abastos,0.00
131719,Administración de proyectos,0.00
131720,Servicios de investigación científica y tecnológica,0.00
131721,Administración y operación de mercados,0.00
